image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
pond5_image_201540761,3:4,73,73,73,30,30,5,minimal_crop,0.00987620007000034
pond5_image_201540761,4:3,166,166,166,30,30,5,minimal_crop,0.014818693165518981
sstk_image_1499190317,1:1,127,127,127,30,30,5,crop,0.5843208512382965
sstk_image_1499190317,9:16,71,71,71,30,30,5,crop,4.423648205636954
sstk_image_1499190317,16:9,154,154,154,30,30,5,crop,0.7919565532886716
sstk_image_1499190317,3:4,73,73,73,30,30,5,crop,3.3627621879322698
sstk_image_1499190317,4:3,170,170,170,30,30,5,minimal_crop,0.006547749042510986
sstk_image_712626166,1:1,119,119,119,30,30,5,crop,0.9154396748352163
sstk_image_712626166,9:16,54,54,54,30,30,5,crop,1.627018597977722
sstk_image_712626166,16:9,181,181,181,30,30,5,minimal_crop,0.0
sstk_image_712626166,3:4,59,59,59,30,30,5,crop,1.2176653611405772
sstk_image_712626166,4:3,151,151,151,30,30,5,crop,0.6968836495707624
sstk_image_1397860217,1:1,123,123,123,30,30,5,crop,2.137642352285428
sstk_image_1397860217,9:16,73,73,73,30,30,5,crop,4.671611229041673
sstk_image_1397860217,16:9,155,155,155,30,30,5,minimal_crop,0.0
sstk_image_1397860217,3:4,77,77,77,30,30,5,crop,3.573220381782541
sstk_image_1397860217,4:3,149,149,149,30,30,5,minimal_crop,0.007911470112392793
sstk_image_1938851020,1:1,115,115,115,30,30,5,minimal_crop,0.0
sstk_image_1938851020,9:16,124,124,124,30,30,5,crop,1.4286703070942326
sstk_image_1938851020,16:9,66,66,66,30,30,5,minimal_crop,0.0
sstk_image_1938851020,3:4,158,158,158,30,30,5,crop,0.5560761548554882
sstk_image_1938851020,4:3,85,85,85,30,30,5,minimal_crop,0.0
sstk_image_1698034891,1:1,125,50,50,30,30,5,minimal_crop,0.0
sstk_image_1698034891,9:16,73,41,41,30,30,5,minimal_crop,0.02787391245365156
sstk_image_1698034891,16:9,132,5,5,5,5,5,minimal_crop,0.0
sstk_image_1698034891,3:4,77,48,48,30,30,5,crop,0.07185350259492806
sstk_image_1698034891,4:3,156,50,50,30,30,5,minimal_crop,0.0
sstk_image_1406711735,1:1,114,114,114,31,31,5,crop,3.410460647432765
sstk_image_1406711735,9:16,127,127,127,30,30,5,minimal_crop,0.0
sstk_image_1406711735,16:9,75,75,75,31,31,5,crop,6.0299857332618325
sstk_image_1406711735,3:4,153,153,153,31,31,5,minimal_crop,0.0
sstk_image_1406711735,4:3,72,72,72,31,31,5,crop,4.592554516355379
sstk_image_1981125509,1:1,105,105,105,30,30,5,crop,1.5845459644572746
sstk_image_1981125509,9:16,54,54,54,30,30,5,crop,8.972211270841715
sstk_image_1981125509,16:9,127,127,127,30,30,5,crop,1.4158127898194635
sstk_image_1981125509,3:4,53,53,53,30,30,5,crop,4.990662073779757
sstk_image_1981125509,4:3,123,123,123,30,30,5,minimal_crop,0.005418079497702011
sstk_image_1378329788,1:1,115,115,115,30,30,5,minimal_crop,0.010121309757232577
sstk_image_1378329788,9:16,72,72,72,30,30,5,minimal_crop,0.016056493623529677
sstk_image_1378329788,16:9,145,145,145,31,31,5,crop,1.8501741639423948
sstk_image_1378329788,3:4,68,68,68,30,30,5,minimal_crop,0.006884858012199402
sstk_image_1378329788,4:3,144,144,144,31,31,5,minimal_crop,0.0
sstk_image_1085286317,1:1,130,130,130,30,30,5,crop,2.4688295274022827
sstk_image_1085286317,9:16,136,136,136,30,30,5,minimal_crop,0.01073652404489922
sstk_image_1085286317,16:9,74,74,74,30,30,5,crop,4.314048730741074
sstk_image_1085286317,3:4,163,163,163,30,30,5,crop,1.1009800976785615
sstk_image_1085286317,4:3,76,76,76,30,30,5,crop,3.274987574975918
pond5_image_128247375,1:1,128,46,46,30,30,5,minimal_crop,0.010855707526207015
pond5_image_128247375,9:16,75,26,26,26,26,5,crop,3.5737446668442727
pond5_image_128247375,16:9,133,0,32,30,30,5,minimal_crop,0.0
pond5_image_128247375,3:4,74,43,43,30,30,5,minimal_crop,0.02260766461664432
pond5_image_128247375,4:3,172,46,46,30,30,5,minimal_crop,0.005340036749839738
sstk_image_1445344622,1:1,124,124,124,30,30,5,minimal_crop,0.003582127930622292
sstk_image_1445344622,9:16,76,76,76,30,30,5,crop,0.36142919454464284
sstk_image_1445344622,16:9,154,154,154,30,30,5,crop,2.0128998338228854
sstk_image_1445344622,3:4,73,73,73,30,30,5,crop,0.25080031988061946
sstk_image_1445344622,4:3,168,168,168,30,30,5,minimal_crop,0.0007831725381122201
sstk_image_157024511,1:1,147,147,147,31,31,5,minimal_crop,0.008745510795210132
sstk_image_157024511,9:16,70,70,70,30,30,5,crop,3.6856122628060968
sstk_image_157024511,16:9,99,99,99,31,31,5,crop,2.6689900899147325
sstk_image_157024511,3:4,100,100,100,30,30,5,minimal_crop,0.0030368284335751117
sstk_image_157024511,4:3,119,119,119,31,31,5,crop,1.641372184269224
sstk_image_1219692541,1:1,176,175,175,30,30,5,crop,0.4119159839016735
sstk_image_1219692541,9:16,96,96,96,30,30,5,minimal_crop,0.0
sstk_image_1219692541,16:9,102,102,102,30,30,5,minimal_crop,0.0
sstk_image_1219692541,3:4,122,122,122,30,30,5,minimal_crop,0.0
sstk_image_1219692541,4:3,148,148,148,30,30,5,minimal_crop,0.0
sstk_image_1931381030,1:1,121,121,121,31,31,5,minimal_crop,0.0
sstk_image_1931381030,9:16,70,70,70,30,30,5,minimal_crop,0.005352898105693393
sstk_image_1931381030,16:9,156,156,156,31,31,5,minimal_crop,0.0
sstk_image_1931381030,3:4,74,74,74,30,30,5,minimal_crop,0.0
sstk_image_1931381030,4:3,150,150,150,31,31,5,minimal_crop,0.0
sstk_image_1017827776,1:1,122,122,122,30,30,5,crop,3.904044260712964
sstk_image_1017827776,9:16,81,81,81,30,30,5,crop,6.775186377575665
sstk_image_1017827776,16:9,142,142,142,30,30,5,crop,0.29557039388658857
sstk_image_1017827776,3:4,71,71,71,30,30,5,crop,5.095216451534393
sstk_image_1017827776,4:3,147,147,147,30,30,5,crop,1.082103300757256
sstk_image_1417816985,1:1,104,104,104,31,31,5,crop,2.927408886191223
sstk_image_1417816985,9:16,71,71,71,31,31,5,crop,11.727214139622337
sstk_image_1417816985,16:9,98,98,98,30,30,5,crop,0.3651762976247267
sstk_image_1417816985,3:4,96,96,96,31,31,5,crop,6.712160078433784
